,Unit Id,School,Applicatin_Status,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002
0,100654,Alabama A & M University,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2003,Fall 2003,Fall 2002
1,100654,Alabama A & M University,Number of applicants,9638,8610,7043,7901,9901,6142,10877,7156,5986,5705,3961,6470,9663,7857,6197,8295,4676
2,100654,Alabama A & M University,Number admitted,8661,7772,6154,5166,5204,5521,5915,3585,3070,2696,1941,2059,3979,3299,2944,3697,2607
3,100654,Alabama A & M University,Number admitted who enrolled,1529,1294,1568,1461,1207,1104,1033,872,1123,1050,1048,885,1137,1099,1259,1301,1425
4,100654,Alabama A & M University,Percent of applicants admitted,89.9%,90.3%,87.4%,65.4%,52.6%,89.9%,54.4%,50.1%,51.3%,47.3%,49.0%,31.8%,41.2%,42.0%,47.5%,44.6%,55.8%
5,100654,Alabama A & M University,Percent of admitted who enrolled,17.7%,16.6%,25.5%,28.3%,23.2%,20.0%,17.5%,24.3%,36.6%,38.9%,54.0%,43.0%,28.6%,33.3%,42.8%,35.2%,54.7%
6,100663,University of Alabama at Birmingham,Reporting period,,,,,,Fall 2013,Fall 2011,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2006,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
7,100663,University of Alabama at Birmingham,Number of applicants,7845,7555,9459,7672,5710,5689,5575,5575,4667,4418,5106,4221,4221,4255,4318,4730,3532
8,100663,University of Alabama at Birmingham,Number admitted,7226,6936,5499,4636,4893,4934,4027,4027,3847,3692,4345,3705,3705,3731,3710,3807,3220
9,100663,University of Alabama at Birmingham,Number admitted who enrolled,2299,2299,2021,1621,1748,1773,1605,1605,1571,1517,2213,1531,1531,1587,1628,1708,1471
10,100663,University of Alabama at Birmingham,Percent of applicants admitted,92.1%,91.8%,58.1%,60.4%,85.7%,86.7%,72.2%,72.2%,82.4%,83.6%,85.1%,87.8%,87.8%,87.7%,85.9%,80.5%,91.2%
11,100663,University of Alabama at Birmingham,Percent of admitted who enrolled,31.8%,33.1%,36.8%,35.0%,35.7%,35.9%,39.9%,39.9%,40.8%,41.1%,50.9%,41.3%,41.3%,42.5%,43.9%,44.9%,45.7%
18,100724,Alabama State University,Reporting period,,,,,,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2003,Fall 2001
19,100724,Alabama State University,Number of applicants,7783,6842,9053,8356,7673,10245,7592,7158,8229,8510,11309,12436,6202,8827,11462,11462,6236
20,100724,Alabama State University,Number admitted,7607,6696,4155,3876,4087,5251,3495,3636,3598,3936,4781,5172,4154,4476,5779,5779,4322
21,100724,Alabama State University,Number admitted who enrolled,1038,967,1172,1021,1091,1479,1106,1101,1221,1378,1366,1366,1213,1163,1249,1249,1280
22,100724,Alabama State University,Percent of applicants admitted,97.7%,97.9%,45.9%,46.4%,53.3%,51.3%,46.0%,50.8%,43.7%,46.3%,42.3%,41.6%,67.0%,50.7%,50.4%,50.4%,69.3%
23,100724,Alabama State University,Percent of admitted who enrolled,13.6%,14.4%,28.2%,26.3%,26.7%,28.2%,31.6%,30.3%,33.9%,35.0%,28.6%,26.4%,29.2%,26.0%,21.6%,21.6%,29.6%
