,Unnamed: 0,School,Living_Type,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002
0,100654,Alabama A & M University,On-campus in-state(total),23954.0,23462.0,23057.0,22886.0,22896.0,20884.0,21849.0,19076.0,17688.0,15210.0,13922.0,13242.0,13242.0,12810.0,12810.0,12810.0,11052.0,10640.0
1,100654,Alabama A & M University,Off-campus with family in-district(total),14714.0,14334.0,14037.0,14056.0,14756.0,12196.0,10282.0,10282.0,9928.0,8900.0,7792.0,7172.0,7172.0,6740.0,6740.0,6740.0,5552.0,5140.0
2,100654,Alabama A & M University,Off-campus with family in-state(total),14714.0,14334.0,14037.0,14056.0,14756.0,12196.0,10282.0,10282.0,9928.0,8900.0,7792.0,7172.0,7172.0,6740.0,6740.0,6740.0,5552.0,5140.0
3,100654,Alabama A & M University,Off-campus with family out-of-state(total),23324.0,22944.0,22416.0,22186.0,22526.0,19696.0,15874.0,15874.0,15256.0,13772.0,11738.0,10604.0,10604.0,9860.0,9860.0,9860.0,8384.0,7660.0
4,100663,University of Alabama at Birmingham,On-campus in-state(total),27630.0,26336.0,26096.0,25808.0,24661.0,24405.0,22494.0,21687.0,21153.0,20326.0,19115.0,18238.0,17607.0,16310.0,16154.0,16743.0,16239.0,14436.0
5,100663,University of Alabama at Birmingham,Off-campus with family in-district(total),15323.0,14654.0,14414.0,14126.0,13852.0,13596.0,12580.0,11973.0,11439.0,10856.0,10146.0,9314.0,8683.0,8167.0,8167.0,8937.0,8549.0,8155.0
6,100663,University of Alabama at Birmingham,Off-campus with family in-state(total),15323.0,14654.0,14414.0,14126.0,13852.0,13596.0,12580.0,11973.0,11439.0,10856.0,10146.0,9314.0,8683.0,8167.0,8167.0,8937.0,8549.0,8155.0
7,100663,University of Alabama at Birmingham,Off-campus with family out-of-state(total),27155.0,25790.0,25118.0,24454.0,23740.0,23148.0,21773.0,20637.0,19431.0,18248.0,16482.0,15002.0,13771.0,12919.0,12919.0,14697.0,13769.0,12085.0
12,100724,Alabama State University,On-campus in-state(total),22110.0,22110.0,21482.0,19634.0,19387.0,18286.0,18286.0,17447.0,17442.0,15908.0,15212.0,13404.0,11968.0,10918.0,10718.0,10718.0,10310.0,9594.0
13,100724,Alabama State University,Off-campus with family in-district(total),16896.0,16896.0,16896.0,15048.0,14798.0,13492.0,13492.0,12704.0,12704.0,11936.0,11240.0,9632.0,8328.0,7828.0,7628.0,7628.0,7220.0,6524.0
14,100724,Alabama State University,Off-campus with family in-state(total),16896.0,16896.0,16896.0,15048.0,14801.0,13492.0,13492.0,12704.0,12704.0,11936.0,11240.0,9632.0,8328.0,7828.0,7628.0,7628.0,7220.0,6524.0
