Total Expenses,Other Expenses,Medical,Competition Guarantees,Recruiting,Game Expenses and Travel,Facilities and Equipment,Coaches Compensation,Support and Admin Compensation w/Severance,Athletic Student Aid,Total Revenues,Other Revenue,"Corporate Sponsorship, Advertising, Licensing",Donor Contributions,"NCAA/Conference Distributions, Media Rights, and Post-Season Football",Ticket Sales,Total Academic Spending (University-Wide),Total Football Spending,Total Football Coaching Salaries,Athletics Related Debt,"Annual Debt Service, Leases and Rental Fees on Athletic Facilities"
4371215.0,128579.0,51111.0,11111.0,28178.0,571295.0,318569.0,1161948.0,368339.0,1845317.0,1683189.0,32211.0,122925.0,12111.0,341938.0,299178.0,115893529.0,1449621.0,418314.0,9111111.0,887926.0
7811439.0,562826.0,349618.0,37343.0,21484.0,796769.0,1914943.0,1483177.0,581562.0,2164827.0,9733551.0,427239.0,1.0,27411.0,258534.0,464678.0,119997615.0,1697311.0,624118.0,9361312.0,1141711.0
5355699.0,179991.0,333251.0,39111.0,34325.0,518589.0,88352.0,1795298.0,461562.0,1916333.0,6847295.0,117976.0,57155.0,11111.0,418187.0,513257.0,114831523.0,1761148.0,748511.0,9178121.0,659559.0
6368281.0,291441.0,212169.0,28211.0,61731.0,1711331.0,231151.0,1683784.0,437111.0,1724677.0,7254361.0,114848.0,81281.0,22711.0,416893.0,71165.0,118162615.0,2175311.0,778511.0,9178121.0,659559.0
6641311.0,514363.0,226421.0,43511.0,42619.0,891479.0,513777.0,1683784.0,437111.0,2288358.0,8711959.0,117226.0,113468.0,71127.0,366542.0,525176.0,119214914.0,2192581.0,778511.0,8448111.0,1139645.0
6561218.0,367169.0,185786.0,23148.0,57686.0,781217.0,178128.0,1478326.0,878334.0,2611714.0,6585588.0,295436.0,912.0,1.0,426266.0,621954.0,126154615.0,2188619.0,695891.0,8448111.0,1139645.0
6981583.0,198499.0,177181.0,1.0,57686.0,874612.0,219174.0,1421117.0,983973.0,3158352.0,6113172.0,171178.0,971.0,1.0,571611.0,315394.0,128543652.0,2176195.0,551499.0,7317255.0,1141745.0
6614394.0,119573.0,152461.0,1.0,55345.0,1193244.0,221613.0,1297928.0,554613.0,3119627.0,5516444.0,243596.0,17991.0,1.0,395128.0,468636.0,121416136.0,2411985.0,642111.0,6166511.0,913296.0
7349658.0,416449.0,195788.0,1.0,71472.0,1313829.0,257317.0,1421292.0,1116313.0,2588218.0,7349658.0,195443.0,18618.0,1.0,415599.0,395191.0,126634661.0,2259142.0,679112.0,6162364.0,667583.0
7241911.0,393643.0,176769.0,1.0,141233.0,899724.0,138572.0,1741426.0,497495.0,3252149.0,9568473.0,316786.0,11921.0,562731.0,322469.0,374897.0,116456421.0,2655149.0,852599.0,5675671.0,666193.0
11115117.0,441749.0,283111.0,3111.0,119651.0,1494199.0,953116.0,1765115.0,1487122.0,3478376.0,11231614.0,272961.0,22311.0,497443.0,255888.0,382616.0,136346164.0,2854623.0,831528.0,5675671.0,666193.0
9372315.0,384971.0,312837.0,51511.0,74858.0,1461189.0,248645.0,1961281.0,1144888.0,3744147.0,2592863.0,366128.0,22816.0,33511.0,519673.0,271129.0,111792146.0,3113671.0,873221.0,5675671.0,66193.0
9466448.0,348965.0,571111.0,1111.0,41131.0,1298918.0,547596.0,2127633.0,1196174.0,3435141.0,3293951.0,248536.0,81.0,34111.0,794121.0,285239.0,137637826.0,2896772.0,863761.0,1.0,1.0
11184138.0,425847.0,611111.0,1.0,41131.0,1298918.0,945511.0,2127633.0,1196174.0,3549135.0,11184138.0,259792.0,53611.0,35438.0,1133217.0,289735.0,115352715.0,2818121.0,863761.0,1.0,1.0
5622494.0,261653.0,156111.0,6111.0,142957.0,489383.0,858214.0,1451932.0,563139.0,1695326.0,5814525.0,9511.0,11111.0,417234.0,117511.0,1136225.0,81857339.0,1816276.0,593148.0,1.0,1.0
5155421.0,219436.0,187919.0,3511.0,93627.0,315614.0,924391.0,1272282.0,525198.0,1623565.0,5663446.0,5356.0,51811.0,153154.0,1.0,812115.0,89175561.0,1613783.0,539918.0,1.0,1.0
6148175.0,243472.0,211375.0,1.0,186161.0,558891.0,952731.0,1463819.0,686231.0,1746595.0,6148175.0,29135.0,25111.0,1.0,1.0,1114738.0,97933285.0,1813918.0,577318.0,1.0,1.0
7194226.0,751761.0,185289.0,9811.0,161285.0,787756.0,889146.0,1592924.0,779693.0,2137672.0,7194226.0,41437.0,12213.0,79118.0,473135.0,811168.0,116941195.0,2218155.0,619318.0,1.0,1.0
8455982.0,1115257.0,219584.0,29711.0,147288.0,681693.0,533249.0,1575651.0,1369227.0,2815333.0,8455982.0,29841.0,252111.0,45512.0,794948.0,688137.0,111611656.0,2598374.0,618998.0,1.0,1.0
9146867.0,786397.0,171556.0,8111.0,135214.0,861882.0,518462.0,1572411.0,1511555.0,3494411.0,9146867.0,41165.0,222956.0,119516.0,657498.0,761745.0,124333446.0,2483518.0,672527.0,1.0,1.0
11614181.0,899578.0,231997.0,11511.0,163431.0,1158187.0,686172.0,2338153.0,1265792.0,3861372.0,11614181.0,68557.0,113111.0,91653.0,853179.0,729521.0,135629289.0,2732366.0,853675.0,66611144.0,4255861.0
14145373.0,1591417.0,311419.0,139112.0,214113.0,1459757.0,883614.0,2891439.0,1379556.0,5287186.0,14145373.0,51655.0,23384.0,84398.0,758611.0,797323.0,141711321.0,3313291.0,1131173.0,79931237.0,4699542.0
14171319.0,1599137.0,388577.0,146511.0,285989.0,1653183.0,1112932.0,2844114.0,1577628.0,4472349.0,14171319.0,167199.0,184751.0,147985.0,791161.0,1411731.0,145315316.0,3169114.0,855279.0,78569821.0,6585798.0
14597561.0,772323.0,394819.0,81511.0,311272.0,1941156.0,1346311.0,3319471.0,1645918.0,4797791.0,14597561.0,61671.0,147251.0,351741.0,918411.0,1119652.0,132799941.0,3925177.0,1176365.0,76712312.0,6571685.0
15115343.0,1875725.0,553135.0,76111.0,271638.0,1618834.0,973174.0,3446449.0,1335222.0,4955266.0,15255219.0,62592.0,155741.0,97691.0,1172196.0,1152831.0,129169849.0,3539427.0,1211517.0,74122315.0,6979135.0
14374967.0,1299959.0,149691.0,79511.0,181181.0,1445123.0,597829.0,3331236.0,1681591.0,5619961.0,14374967.0,59695.0,188911.0,311716.0,771783.0,1551691.0,129138612.0,3994582.0,1227992.0,71446616.0,6955199.0
13828387.0,1142884.0,195833.0,174511.0,211656.0,1237211.0,845113.0,3646519.0,1316271.0,5168521.0,13551412.0,192174.0,248421.0,278621.0,1188518.0,1351292.0,135343719.0,3717312.0,1453134.0,61615111.0,9195951.0
4119366.0,53341.0,111156.0,1411.0,37912.0,563823.0,958719.0,446598.0,114889.0,1842639.0,4552937.0,38344.0,4185.0,41448.0,141443.0,266715.0,54915341.0,1247471.0,151491.0,1.0,1.0
4177981.0,112548.0,2635.0,2111.0,45113.0,525931.0,1117549.0,579377.0,111558.0,1592381.0,4521543.0,57171.0,1.0,25111.0,341826.0,622178.0,56812536.0,1111499.0,224364.0,1.0,7276918.0
4942141.0,212586.0,19254.0,1.0,47817.0,531175.0,693841.0,1191679.0,325177.0,2121613.0,4942683.0,219731.0,1.0,25111.0,443597.0,424152.0,59252173.0,1517188.0,512936.0,1.0,1.0
5521118.0,32354.0,19118.0,1.0,76312.0,591141.0,846257.0,1272278.0,526838.0,2157141.0,5684217.0,24991.0,1.0,31111.0,563893.0,211858.0,61721852.0,1661469.0,595745.0,1.0,1.0
5576931.0,95511.0,166121.0,1.0,47755.0,611357.0,717942.0,1354918.0,515225.0,2179213.0,5995743.0,64351.0,1.0,31111.0,361536.0,284661.0,69572115.0,1419711.0,555975.0,1.0,1.0
6327227.0,171515.0,45772.0,1.0,61151.0,1163137.0,723196.0,1224378.0,311163.0,2631116.0,6361834.0,988971.0,1.0,1.0,183315.0,91199.0,72422111.0,1687113.0,541111.0,1.0,1.0
6142719.0,17112.0,6998.0,51111.0,61151.0,598111.0,95794.0,1443317.0,412976.0,3368452.0,8926141.0,61683.0,1.0,1.0,1.0,111461.0,76688485.0,2181427.0,593192.0,1.0,1.0
6611425.0,147211.0,28243.0,1.0,52513.0,1117526.0,551391.0,1123818.0,417414.0,3273339.0,6341123.0,129622.0,1.0,1.0,67111.0,211151.0,74347418.0,2277725.0,511111.0,1.0,1.0
7368686.0,18951.0,27115.0,42111.0,66516.0,1411321.0,779249.0,1217683.0,325861.0,3499992.0,7259462.0,221131.0,1.0,1.0,67111.0,826891.0,71222282.0,2268671.0,515111.0,1.0,1.0
