Unit Id,Institution name,,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002
100654,Alabama A & M University,Reporting period,N/A,N/A,N/A,N/A,N/A,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2003,Fall 2003,Fall 2002
100654,Alabama A & M University,Number of applicants,9638,8610,7043,7901,9901,6142,10877,7156,5986,5705,3961,6470,9663,7857,6197,8295,4676
100654,Alabama A & M University,Number admitted,8661,7772,6154,5166,5204,5521,5915,3585,3070,2696,1941,2059,3979,3299,2944,3697,2607
100654,Alabama A & M University,Number admitted who enrolled,1529,1294,1568,1461,1207,1104,1033,872,1123,1050,1048,885,1137,1099,1259,1301,1425
100654,Alabama A & M University,Percent of applicants admitted,89.9%,90.3%,87.4%,65.4%,52.6%,89.9%,54.4%,50.1%,51.3%,47.3%,49.0%,31.8%,41.2%,42.0%,47.5%,44.6%,55.8%
100654,Alabama A & M University,Percent of admitted who enrolled,17.7%,16.6%,25.5%,28.3%,23.2%,20.0%,17.5%,24.3%,36.6%,38.9%,54.0%,43.0%,28.6%,33.3%,42.8%,35.2%,54.7%
100663,University of Alabama at Birmingham,Reporting period,N/A,N/A,N/A,N/A,N/A,Fall 2013,Fall 2011,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2006,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
100663,University of Alabama at Birmingham,Number of applicants,7845,7555,9459,7672,5710,5689,5575,5575,4667,4418,5106,4221,4221,4255,4318,4730,3532
100663,University of Alabama at Birmingham,Number admitted,7226,6936,5499,4636,4893,4934,4027,4027,3847,3692,4345,3705,3705,3731,3710,3807,3220
100663,University of Alabama at Birmingham,Number admitted who enrolled,2299,2299,2021,1621,1748,1773,1605,1605,1571,1517,2213,1531,1531,1587,1628,1708,1471
100663,University of Alabama at Birmingham,Percent of applicants admitted,92.1%,91.8%,58.1%,60.4%,85.7%,86.7%,72.2%,72.2%,82.4%,83.6%,85.1%,87.8%,87.8%,87.7%,85.9%,80.5%,91.2%
100663,University of Alabama at Birmingham,Percent of admitted who enrolled,31.8%,33.1%,36.8%,35.0%,35.7%,35.9%,39.9%,39.9%,40.8%,41.1%,50.9%,41.3%,41.3%,42.5%,43.9%,44.9%,45.7%
100706,University of Alabama in Huntsville,Reporting period,N/A,N/A,N/A,N/A,N/A,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
100706,University of Alabama in Huntsville,Number of applicants,4543,4454,4545,3308,2104,2054,1938,1952,1846,1924,1874,1850,1809,1698,1743,1785,1537
100706,University of Alabama in Huntsville,Number admitted,3674,3618,3467,2686,1726,1656,1505,1243,1221,1387,1671,1628,1598,1480,1559,1563,1391
100706,University of Alabama in Huntsville,Number admitted who enrolled,1435,1352,1213,1038,724,651,624,677,622,802,796,800,838,660,681,798,628
